DATASET UNTUK TREND APP YANG DIPASANG PADA LAYANAN VPS DALAM 5 TAHUN TERAKHIR;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Server (APP);Initial Release;Year of Sales Revenue;Bidang ;Total Current Live Websites;Sales Revenue (Mllion) in 2023;Current Customers (Websites) in 2024;Location;Sales Revenue Customer;Tech Spend;Social;Traffic;Current Live Webites by Country;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shop.slate.com;United States;;$5000+;20,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;vanityfair.com;United States;;$5000+;3,000,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;shareasale-analytics.com;United States;;$5000+;5,000+;-;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;appliances.sears.com;United States;;$10000+;150,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;vogue.com;United States;;$10000+;1,500,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;self.com;United States;;$5000+;400,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;origin-ua-order.test.subway.com;United States;;$10000+;1,500,000+;Very High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;merch.sixflags.com;United States;$113m+;$10000+;50,000+;High;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;store.sneakernews.com;United States;;$2000+;5,000,000+;Medium;2.656.426;;;;;;;;;;;;;;;
Shopify;2004;2023;eCommerce;4.708.257;7.100;streamlabs.com;United States;;$2000+;200,000+;Very High;2.656.426;;;;;;;;;;;;;;;
