Web Server (APP),Tahun,Bidang ,Total Current Live Websites,Current Customers (Websites),Location,Sales Revenue,Tech Spend,Social,Employees,Traffic,Current Live Webites by Country
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.slate.com,United States,,$5000+,"20,000+",100+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",vanityfair.com,United States,,$5000+,"3,000,000+",100+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shareasale-analytics.com,United States,,$5000+,"5,000+",,-,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",appliances.sears.com,United States,,$10000+,"150,000+","10,000+",Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",vogue.com,United States,,$10000+,"1,500,000+",,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",self.com,United States,,$5000+,"400,000+",,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",origin-ua-order.test.subway.com,United States,,$10000+,"1,500,000+","10,000+",Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",merch.sixflags.com,United States,$113m+,$10000+,"50,000+","10,000+",High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.sneakernews.com,United States,,$2000+,"5,000,000+",1+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",streamlabs.com,United States,,$2000+,"200,000+",10+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",verabradley.com,United States,$41m+,$10000+,"400,000+","1,000+",Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.inquirer.com,United States,,$10000+,"100,000+",100+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.slicelife.com,United States,$913k+,$5000+,,100+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",jeffreestarcosmetics.com,United States,$431k+,$2000+,"3,000,000+",100+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",customer.stamps.com,United States,$63m+,$5000+,"1,000+","1,000+",High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.inspiremore.com,United States,,$2000+,"50,000+",,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",steinmart.com,United States,$103m+,$2000+,"10,000+","10,000+",High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",instantpot.com,United States,$368k+,$2000+,"10,000+",,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",swimoutlet.com,United States,$545k+,$5000+,"100,000+",10+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.simonandschuster.com,United States,$23m+,$10000+,"400,000+","1,000+",Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.ihop.com,United States,$291k+,$2000+,50+,"10,000+",Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.scarymommy.com,United States,,$1000+,"1,500,000+",10+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",buy.seahawks.com,United States,,$10000+,"2,000,000+",100+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",vimeo.com,United States,,$5000+,"150,000+","1,000+",Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.sho.com,United States,$321k+,$5000+,"400,000+",100+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.stereogum.com,United States,,$2000+,"150,000+",,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.jessicagavin.com,United States,,$500+,"1,000+",,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",sgwtestimages.shopgoodwill.com,United States,,$2000+,"1,000+",,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.soaphub.com,United States,,$2000+,"10,000+",10+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shopjustice.com,United States,$523k+,$5000+,"750,000+","1,000+",Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.spoonuniversity.com,United States,,$5000+,"200,000+",100+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",ae.sunglasshut.com,United States,$844k+,$10000+,"10,000+","10,000+",Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",inspirato.com,United States,$28m+,$10000+,"2,000+",100+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.saveur.com,United States,,$1000+,"400,000+",10+,High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.spectator.org,United States,,$1000+,"10,000+",10+,High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",reports.statnews.com,United States,,$5000+,"5,000+",10+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.vote.org,United States,$204k+,$1000+,"5,000+",10+,Very High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.smiledirectclub.com,United States,$39m+,$10000+,"300,000+","1,000+",Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.sofrep.com,United States,,$2000+,0+,10+,High,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.sendlane.com,United States,$176k+,$5000+,"1,000+",10+,Medium,"2,656,426"
Shopify,2020 - 2024,eCommerce,"4,708,257",vogue.co.uk,United Kingdom,,$5000+,"3,000,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.jamieoliver.com,United Kingdom,,$2000+,"3,000,000+",100+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",fr-test.justfashionnow.com,United Kingdom,,$2000+,100+,,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",merch.justinguitar.com,United Kingdom,,$500+,"50,000+",,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",internalmedicine.imedpub.com,United Kingdom,,$250+,,,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.sofarsounds.com,United Kingdom,$29k+,$2000+,"150,000+",100+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",3dtotal.com,United Kingdom,$216k+,$1000+,"50,000+",,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.sciencemuseum.org.uk,United Kingdom,$36k+,$2000+,"150,000+",100+,High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",equipment.itftennis.com,United Kingdom,,$2000+,,,High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",steamforged.com,United Kingdom,$543k+,$5000+,"5,000+",10+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",mystyle.hm.com,United Kingdom,,$10000+,,"100,000+",Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",swag.raspberrypi.org,United Kingdom,,$5000+,"150,000+",100+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shopify.diabetes.co.uk,United Kingdom,$174k+,$2000+,"20,000+",100+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.udiscovermusic.com,United Kingdom,$320k+,$5000+,"5,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.rocksound.tv,United Kingdom,,$2000+,"150,000+",10+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",huel.com,United Kingdom,$1.0m+,$10000+,500+,100+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",hunterboots.com,United Kingdom,$571k+,$5000+,"20,000+",100+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.expertphotography.com,United Kingdom,,$1000+,"5,000+",,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",giftshop.ed.ac.uk,United Kingdom,,$10000+,"20,000+",100+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.amnesty.org,United Kingdom,$6.0m+,$2000+,"500,000+","1,000+",Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",maisonmiru.com,United Kingdom,$213k+,$2000+,"50,000+",1+,-,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.mind.org.uk,United Kingdom,$208k+,$2000+,"300,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",outfitted.golfwrx.com,United Kingdom,,$1000+,"150,000+",1+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",crates.whosampled.com,United Kingdom,,$500+,"10,000+",,High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",gymshark.com,United Kingdom,,$10000+,"3,000,000+",100+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.physio-pedia.com,United Kingdom,$17k+,$500+,"10,000+",10+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",checkout.store.fifa.com,United Kingdom,,$5000+,"5,000,000+",100+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.feed-the-beast.com,United Kingdom,$15k+,$250+,,,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",supportkit.gia.edu,United Kingdom,,$10000+,"150,000+","1,000+",Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",glamourmagazine.co.uk,United Kingdom,,$1000+,"400,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.football365.com,United Kingdom,,$2000+,"1,000+",,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",calendly.com,United Kingdom,,$5000+,"5,000+",100+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.newscientist.com,United Kingdom,,$5000+,"400,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.carthrottle.com,United Kingdom,,$1000+,"1,000,000+",10+,Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",employeestore.burberry.com,United Kingdom,$2.7m+,$10000+,"5,000,000+","10,000+",Medium,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.bl.uk,United Kingdom,$21m+,$2000+,"1,000+",,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.cochrane.org,United Kingdom,$2.2m+,$1000+,"10,000+",10+,Very High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",scotclans.com,United Kingdom,$356k+,$100+,"2,000+",,High,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",sourcebmx.com,United Kingdom,$319k+,$5000+,"50,000+",10+,-,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",jaidenanimations.com,United Kingdom,$45k+,$500+,"750,000+",,-,"207,349"
Shopify,2020 - 2024,eCommerce,"4,708,257",music.stampinup.com,Australia,$371k+,$2000+,10+,100+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.swimuniversity.com,Australia,$20k+,$1000+,"2,000+",1+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shirtpunch.com,Australia,$198k+,$1000+,"20,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",jbhifi.com.au,Australia,$100m+,$10000+,"20,000+","10,000+",High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",sweat.com,Australia,$674k+,$5000+,"750,000+",10+,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",bookshop.swin.edu.au,Australia,,$10000+,"10,000+",100+,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",accounts.zoho.com,Australia,,$10000+,100+,"10,000+",Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",buy.harpersbazaar.com.au,Australia,,$2000+,"200,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.dmarge.com,Australia,,$500+,"20,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.emojipedia.org,Australia,,$1000+,"100,000+",,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.mysteriousuniverse.org,Australia,$2.1m+,$250+,"10,000+",,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",store.globalcitizen.org,Australia,$2.0m+,$2000+,,100+,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",princesspolly.com,Australia,$811k+,$10000+,"1,500,000+",100+,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",canva.com,Australia,$100m+,$10000+,"100,000+","1,000+",Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",swagcheckout.vectorworks.net,Australia,,$5000+,"10,000+",100+,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",jcojewellery.com,Australia,$141k+,$2000+,"300,000+",,-,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",illenium.com,Australia,$674k+,$5000+,"400,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.australiangeographic.com.au,Australia,,$2000+,"150,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.deakin.edu.au,Australia,,$10000+,"20,000+",10+,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",b2b-uk.leica-camera.com,Australia,$331k+,$5000+,"750,000+","1,000+",Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",pinkqueen.com,Australia,$129k+,$250+,,,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.wickedweasel.com,Australia,$217k+,$1000+,"10,000+",10+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",grimfrost.com,Australia,$501k+,$2000+,"100,000+",,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.punters.com.au,Australia,,$10000+,"5,000+",10+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",whitefoxboutique.com,Australia,$426k+,$2000+,"1,000,000+",10+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",4for4.com,Australia,,$1000+,"10,000+","1,000+",Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",adc.caradvice.com.au,Australia,$128k+,$250+,"10,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.timeandtidewatches.com,Australia,$18k+,$1000+,,,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",jazzastudios.com,Australia,$375k+,$250+,,,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.ittf.com,Australia,,$1000+,100+,100+,High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",speedcube.com.au,Australia,$26k+,$250+,"2,000+",,-,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",checkout.gofar.co,Australia,,$2000+,250+,1+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",finalmouse.com,Australia,$120k+,$2000+,"100,000+",10+,-,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",furlscrochet.com,Australia,$254k+,$2000+,"50,000+",10+,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",quadlockcase.com,Australia,$424k+,$2000+,"50,000+",,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",merch.rebrickable.com,Australia,,$500+,"2,000+",,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",zositech.com,Australia,$39k+,$500+,500+,1+,-,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",adf.org.au,Australia,$383k+,$5000+,,,Medium,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",mq.edu.au,Australia,,$10000+,500+,,Very High,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",mightycarmods.com,Australia,$55k+,$500+,"400,000+",,-,"150,839"
Shopify,2020 - 2024,eCommerce,"4,708,257",mais-qa.cuidadospelavida.com.br,Brazil,$98k+,$1000+,50+,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",brazopolis.mg.gov.br,Brazil,$468k+,$5000+,10+,10+,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",shop.wemystic.com.br,Brazil,,$2000+,250+,1+,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",ubestplus.uninter.com,Brazil,$526k+,$2000+,"50,000+",10+,High,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",pay.ebit.com.br,Brazil,,$1000+,"2,000+",10+,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",hostinger.com.br,Brazil,$149k+,$500+,"5,000+",,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",eventos.ufabc.edu.br,Brazil,,$5000+,"2,000+",,High,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",jobin.com.br,Brazil,$1k+,$50+,"10,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",sallve.com.br,Brazil,$343k+,$2000+,"500,000+",10+,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",insiderstore.com.br,Brazil,$202k+,$2000+,"200,000+",,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",selecaoadega.com.br,Brazil,$1k+,$100+,500+,,-,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",aperam.siteware.com.br,Brazil,,$2000+,50+,,Medium,"123,054"
Shopify,2020 - 2024,eCommerce,"4,708,257",clickout.noticiasaominuto.com.br,Brazil,,$1000+,"1,000+",,Medium,"123,054"
